tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
414,2017-09-18 09:56:02,2017-09-18 10:02:57,146,Hudson St & Reade St,40.71625008,-74.0091059,355,Bayard St & Baxter St,40.71602118,-73.99974372,28285,Subscriber,1952,male,""
308,2017-06-01 10:05:18,2017-06-01 10:10:26,3143,5 Ave & E 78 St,40.776321421822708,-73.964273929595947,3284,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,21432,Subscriber,1998,female,""
509,2016-08-11 15:48:51,2016-08-11 15:57:21,341,Stanton St & Mangin St,40.71782143,-73.97628939,412,Forsyth St & Canal St,40.7158155,-73.99422366,25847,Subscriber,2000,female,""
326,2017-05-08 20:42:40,2017-05-08 20:48:06,406,Hicks St & Montague St,40.69512845,-73.99595065,143,Clinton St & Joralemon St,40.69239502,-73.99337909,19692,Subscriber,1952,male,""
433,2015-09-12 16:27:32,2015-09-12 16:34:45,312,Allen St & E Houston St,40.722055,-73.989111,348,W Broadway & Spring St,40.72490985,-74.00154702,14947,Subscriber,1945,male,""
249,2013-11-21 22:20:27,2013-11-21 22:24:36,457,Broadway & W 58 St,40.76695317,-73.98169333,449,W 52 St & 9 Ave,40.76461837,-73.98789473,18665,Subscriber,1948,male,""
499,2018-04-27 08:17:28.944,2018-04-27 08:25:48.269,3159,W 67 St & Broadway,40.77492513,-73.98266566,479,9 Ave & W 45 St,40.76019252,-73.9912551,27356,Subscriber,1999,male,""
424,2013-07-01 19:58:20,2013-07-01 20:05:24,233,Joralemon St & Adams St,40.69246277,-73.98963911,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,19157,Subscriber,1942,male,""
1895,2016-09-11 20:45:00,2016-09-11 21:16:35,529,W 42 St & 8 Ave,40.7575699,-73.99098507,312,Allen St & Stanton St,40.722055,-73.989111,23552,Customer,1996,male,""
397,2017-08-15 16:31:51,2017-08-15 16:38:28,444,Broadway & W 24 St,40.7423543,-73.98915076,433,E 13 St & Avenue A,40.72955361,-73.98057249,26544,Subscriber,1996,male,""
502,2017-08-01 08:01:19,2017-08-01 08:09:41,393,E 5 St & Avenue C,40.72299208,-73.97995466,531,Forsyth St & Broome St,40.71893904,-73.99266288,20549,Subscriber,1944,female,""
456,2018-01-30 12:11:12.203,2018-01-30 12:18:48.764,504,1 Ave & E 16 St,40.73221853,-73.98165557,3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,32180,Subscriber,1997,male,""
532,2016-09-07 16:41:16,2016-09-07 16:50:09,497,E 17 St & Broadway,40.73704984,-73.99009296,494,W 26 St & 8 Ave,40.74734825,-73.99723551,23395,Subscriber,1949,male,""
916,2017-07-18 14:01:28,2017-07-18 14:16:45,430,York St & Jay St,40.7014851,-73.98656928,412,Forsyth St & Canal St,40.7158155,-73.99422366,20564,Subscriber,1997,female,""
295,2015-12-15 14:55:02,2015-12-15 14:59:57,160,E 37 St & Lexington Ave,40.748238,-73.978311,476,E 31 St & 3 Ave,40.74394314,-73.97966069,15095,Subscriber,1949,female,""
1538,2016-06-12 20:42:20,2016-06-12 21:07:58,502,Henry St & Grand St,40.714215,-73.981346,279,Peck Slip & Front St,40.707873,-74.00167,15314,Subscriber,1952,male,""
464,2014-10-15 11:27:08,2014-10-15 11:34:52,285,Broadway & E 14 St,40.73454567,-73.99074142,403,E 2 St & 2 Ave,40.72502876,-73.99069656,14829,Subscriber,1951,male,""
14288,2015-03-07 08:09:00,2015-03-07 12:07:00,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,403,E 2 St & 2 Ave,40.72502876,-73.99069656,19935,Subscriber,1949,male,""
301,2016-05-20 17:34:39,2016-05-20 17:39:41,346,Bank St & Hudson St,40.73652889,-74.00618026,116,W 17 St & 8 Ave,40.74177603,-74.00149746,25078,Subscriber,1951,female,""
5969,2018-04-28 14:32:25.760,2018-04-28 16:11:55.282,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,3554,Vernon Blvd & 41 Rd,40.7552433,-73.9485678,26141,Subscriber,1998,female,""
626,2018-04-26 09:45:47.643,2018-04-26 09:56:14.297,174,E 25 St & 1 Ave,40.7381765,-73.97738662,485,W 37 St & 5 Ave,40.75038009,-73.98338988,25094,Subscriber,1996,male,""
246,2017-05-17 07:30:55,2017-05-17 07:35:02,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,391,Clark St & Henry St,40.69760127,-73.99344559,27362,Subscriber,1998,male,""
1349,2018-05-04 18:08:34.716,2018-05-04 18:31:03.934,490,8 Ave & W 33 St,40.751551,-73.993934,339,Avenue D & E 12 St,40.72580614,-73.97422494,26497,Subscriber,1952,male,""
134,2016-01-31 13:43:21,2016-01-31 13:45:35,79,Franklin St & W Broadway,40.71911552,-74.00666661,146,Hudson St & Reade St,40.71625008,-74.0091059,16668,Subscriber,1949,female,""
688,2017-06-18 15:24:47,2017-06-18 15:36:16,3130,21 St & Queens Plaza North,40.75325964,-73.94335788,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,21612,Subscriber,1947,male,""
194,2015-10-26 13:34:22,2015-10-26 13:37:37,494,W 26 St & 8 Ave,40.74734825,-73.99723551,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,23881,Subscriber,1951,male,""
529,2014-10-19 10:25:37,2014-10-19 10:34:26,302,Avenue D & E 3 St,40.72082834,-73.97793172,401,Allen St & Rivington St,40.72019576,-73.98997825,17548,Subscriber,1950,male,""
424,2015-11-14 10:01:07,2015-11-14 10:08:11,435,W 21 St & 6 Ave,40.74173969,-73.99415556,297,E 15 St & 3 Ave,40.734232,-73.986923,22954,Subscriber,1951,male,""
871,2014-11-28 17:53:19,2014-11-28 18:07:50,531,Forsyth St & Broome St,40.71893904,-73.99266288,339,Avenue D & E 12 St,40.72580614,-73.97422494,16125,Subscriber,1951,male,""
426,2017-05-03 13:30:27,2017-05-03 13:37:34,388,W 26 St & 10 Ave,40.749717753,-74.002950346,405,Washington St & Gansevoort St,40.739323,-74.008119,21023,Subscriber,1998,male,""
545,2016-07-19 18:33:18,2016-07-19 18:42:24,474,5 Ave & E 29 St,40.7451677,-73.98683077,359,E 47 St & Park Ave,40.75510267,-73.97498696,25990,Subscriber,1996,male,""
1565,2015-02-25 13:05:00,2015-02-25 13:31:00,238,Bank St & Washington St,40.7361967,-74.00859207,479,9 Ave & W 45 St,40.76019252,-73.9912551,18454,Subscriber,1938,male,""
137,2018-01-22 10:50:24.018,2018-01-22 10:52:41.863,382,University Pl & E 14 St,40.73492695,-73.99200509,3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,30187,Subscriber,1998,male,""
742,2016-08-23 17:02:30,2016-08-23 17:14:52,368,Carmine St & 6 Ave,40.73038599,-74.00214988,491,E 24 St & Park Ave S,40.74096374,-73.98602213,20017,Subscriber,1996,female,""
693,2017-06-14 17:10:06,2017-06-14 17:21:40,293,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,2012,E 27 St & 1 Ave,40.739445,-73.976806,28323,Subscriber,1997,female,""
